Date;MaxT;MinT;WindSpeed;Humidity ;Precipitation
08/01/2006 00:00;29,47;21,76;1,58;70,21;0
09/01/2006 00:00;30,11;20,96;1,59;67,42;0
10/01/2006 00:00;29,85;21,08;1,65;65,15;0
11/01/2006 00:00;29,8;20,76;1,51;68,99;0
12/01/2006 00:00;29,63;20,53;2,1;69,49;0
13/01/2006 00:00;29,69;19,79;2,14;62,57;0
14/01/2006 00:00;29,73;19,69;2,1;62,49;0
15/01/2006 00:00;29,42;19,88;1,78;67,27;0
16/01/2006 00:00;30,33;19,88;1,27;66,42;0
17/01/2006 00:00;30,98;20,66;1,26;67,68;0
18/01/2006 00:00;31,54;20,56;1,37;68,89;0
19/01/2006 00:00;32,12;20,38;1,63;61,18;0
20/01/2006 00:00;33,87;20,9;1,65;58,26;0
21/01/2006 00:00;32,74;20,99;1,41;57,25;0
22/01/2006 00:00;33,2;20,38;1,97;61,07;0
23/01/2006 00:00;32,96;21,08;2,46;49,18;0
24/01/2006 00:00;31,38;20,93;2,28;52,63;0
25/01/2006 00:00;29,01;20,22;2,49;57,06;0
26/01/2006 00:00;27;19,63;1,81;56,26;0
27/01/2006 00:00;29,29;18,12;2,29;57,83;0
28/01/2006 00:00;29,29;16,79;2,05;56,63;0
29/01/2006 00:00;29,83;17,65;1,88;55,92;0
30/01/2006 00:00;29,71;18,5;1,95;53,34;0
31/01/2006 00:00;30,47;19,94;1,86;61,24;0
01/02/2006 00:00;30,34;19,48;1,78;65,91;0
02/02/2006 00:00;30,17;19,87;1,97;62,88;0
03/02/2006 00:00;31,11;19,18;2,72;63,11;0
04/02/2006 00:00;31,97;19,99;1,87;55,88;0
05/02/2006 00:00;32,09;19,31;1,79;55,4;0
06/02/2006 00:00;30,97;20,14;1,9;60,41;0
07/02/2006 00:00;30,94;19,82;1,82;51,2;0
08/02/2006 00:00;30,22;19,74;1,8;53,74;0
09/02/2006 00:00;29,58;19,85;2,03;55,11;0
10/02/2006 00:00;31,21;19,64;2,24;53,01;0
11/02/2006 00:00;32,2;20,13;2,12;57,28;0
12/02/2006 00:00;31,28;19,76;1,77;57,32;0
13/02/2006 00:00;31,82;19,7;1,69;54,57;0
14/02/2006 00:00;34,13;20,61;1,73;52,85;0
15/02/2006 00:00;33,5;20,92;1,33;56,21;0
16/02/2006 00:00;33,42;20,44;1,84;55,12;0
17/02/2006 00:00;32,83;21,75;1,87;58,85;0
18/02/2006 00:00;33,06;22,58;1,94;57,43;0
19/02/2006 00:00;33,93;22,42;1,68;54,02;0
20/02/2006 00:00;33,88;22,53;2,04;59,86;0
21/02/2006 00:00;34,15;21,76;1,77;58,24;0
22/02/2006 00:00;34,68;21,87;1,68;53,26;0
23/02/2006 00:00;34,92;21,35;2;50,85;0
24/02/2006 00:00;35,27;20,96;1,98;45,65;0
25/02/2006 00:00;35,25;20,79;1,8;45,36;0
26/02/2006 00:00;35,59;21,62;2,13;49,73;0
27/02/2006 00:00;34,83;21,41;2,62;52,34;0
28/02/2006 00:00;34,57;22,55;2,51;56;0
01/03/2006 00:00;33,64;23,52;2,46;56,2;0
02/03/2006 00:00;33,09;22,76;2,83;65,96;0
03/03/2006 00:00;32,07;24,3;2,76;71,34;4,8
04/03/2006 00:00;33,05;25,28;2,25;71,68;0
05/03/2006 00:00;32,85;24,57;2,29;69,64;4,8
06/03/2006 00:00;33,72;24,13;2,22;67,02;0
07/03/2006 00:00;33,26;24;2,16;65,47;0
08/03/2006 00:00;33,03;24,11;2,23;64,3;0
09/03/2006 00:00;32,68;24,18;3,16;63,49;0
10/03/2006 00:00;32,49;23,8;2,59;66,29;0
11/03/2006 00:00;30,77;22,67;2,05;76,2;0
12/03/2006 00:00;32,5;23,4;1,74;64,77;0
13/03/2006 00:00;32,75;23,76;2,29;61,5;0
14/03/2006 00:00;33,28;24,31;2,59;63,21;0
15/03/2006 00:00;33,73;25,32;2,35;70,15;0
16/03/2006 00:00;33,33;24,76;2,42;59,57;0
17/03/2006 00:00;32,7;24,2;2,29;60,08;0
18/03/2006 00:00;33,79;23,55;2,97;56,66;0
19/03/2006 00:00;33,2;24,42;2,35;53,35;0
20/03/2006 00:00;34,1;23,53;1,97;56,88;0
21/03/2006 00:00;35,91;23,54;2,17;50,12;0
22/03/2006 00:00;35,44;24,43;2,51;48,52;0
23/03/2006 00:00;36,38;24,75;2,21;49,76;0
24/03/2006 00:00;35,11;24,55;1,58;48,75;0
25/03/2006 00:00;35,77;24,42;2,11;53,35;0
26/03/2006 00:00;36,44;24,89;2,1;51,28;0
27/03/2006 00:00;36,72;25,76;2,42;46,4;0
28/03/2006 00:00;35,67;25,92;2,05;57,35;0
29/03/2006 00:00;33,8;24,54;2,3;51,31;0
30/03/2006 00:00;34,8;24,82;2,54;52,38;0
31/03/2006 00:00;35,58;24,87;1,72;54,6;0
01/04/2006 00:00;35,98;25,31;2,16;53,74;0
02/04/2006 00:00;35,38;26,3;2,74;62,42;0
03/04/2006 00:00;35,37;26,27;2,74;63,35;0
04/04/2006 00:00;35,61;26;2,47;59,3;0
05/04/2006 00:00;36,41;26,25;2,41;50,37;0
06/04/2006 00:00;36,84;26,07;2,38;61,16;0
07/04/2006 00:00;36,18;27,04;2,57;55,46;0
08/04/2006 00:00;36,04;27,58;2,76;59,5;0
09/04/2006 00:00;35,75;27,95;2,77;56,65;0
10/04/2006 00:00;35,24;27,24;2,89;69,42;0
11/04/2006 00:00;36,15;26,15;2,54;59,12;0
12/04/2006 00:00;36,31;26,94;2,86;52,72;0
13/04/2006 00:00;36,46;27,39;2,26;51,85;0
14/04/2006 00:00;35,95;26,47;2,77;62,12;0
15/04/2006 00:00;35,14;26,83;2,61;68,83;0
16/04/2006 00:00;34,49;26,92;3,04;76,01;9,82
17/04/2006 00:00;28,31;22,87;2,43;72,4;9,82
18/04/2006 00:00;32,88;23,75;2,16;73,69;0
19/04/2006 00:00;34,8;26,32;2,17;60,37;0
20/04/2006 00:00;34,63;25,59;2,5;58,44;0
21/04/2006 00:00;34,78;26,86;2,36;55,29;0
22/04/2006 00:00;35,41;25,62;2,15;60,32;0
23/04/2006 00:00;36,41;26,04;2,09;55,01;0
24/04/2006 00:00;36,37;26,75;2,37;62,2;0
25/04/2006 00:00;37,9;27,06;2,37;59,3;0
26/04/2006 00:00;37,56;27,83;2,42;53,04;0
27/04/2006 00:00;38,78;28,27;3,15;51,13;0
28/04/2006 00:00;37,32;27,81;2,79;48,93;0
29/04/2006 00:00;36,9;27,88;2,23;46,08;0
30/04/2006 00:00;37,31;27,82;3,18;46,54;0
01/05/2006 00:00;37,36;28,07;3,24;59,94;4,7
02/05/2006 00:00;36,14;28,32;2,97;61,65;0
03/05/2006 00:00;35,95;28,26;2,6;70,53;0
04/05/2006 00:00;36,15;26,71;2,6;66,73;0
05/05/2006 00:00;36,59;27,84;2,42;67,38;0
06/05/2006 00:00;36,82;27,69;2,9;55,92;0
07/05/2006 00:00;36,79;28,05;3,08;61,73;0
08/05/2006 00:00;36,51;28,53;2,99;55,39;0
09/05/2006 00:00;36,77;28,09;3,09;53,08;0
10/05/2006 00:00;38,74;29,05;3,26;46,93;0
11/05/2006 00:00;38,82;29,22;3,41;64,14;0
12/05/2006 00:00;37,99;28,25;3,41;56,93;0
13/05/2006 00:00;37,76;29,55;3,29;61,48;8,36
14/05/2006 00:00;37,01;29,05;2,91;54,18;0
15/05/2006 00:00;38,71;29,51;3,03;46,73;0
16/05/2006 00:00;35,42;29,03;3,14;49,99;7,27
17/05/2006 00:00;35,78;25,4;3,26;54,78;14,71
18/05/2006 00:00;34,62;25,49;2,75;59,19;0
19/05/2006 00:00;37,38;27,04;3,34;52,06;4,9
20/05/2006 00:00;31,3;25,37;3,87;56,45;14,71
21/05/2006 00:00;37,3;26,86;3,62;55,46;0
22/05/2006 00:00;39,12;28,69;3,73;56,53;0
23/05/2006 00:00;38,79;28,15;3,63;64,59;0
24/05/2006 00:00;35,4;25,75;4,22;64,16;6,5
25/05/2006 00:00;33,01;27,02;4,45;58,99;15,9
26/05/2006 00:00;36,28;27,49;4,38;70,79;0
27/05/2006 00:00;34,67;27,42;3,39;65,58;10,19
28/05/2006 00:00;34,69;28,51;2,75;60,94;5,57
29/05/2006 00:00;35,26;27,92;3,38;58,68;4,5
30/05/2006 00:00;36,5;28,36;3,54;55,47;0
31/05/2006 00:00;36,35;28,85;3,78;51,69;0
01/06/2006 00:00;37,53;28,98;5,1;55,23;0
02/06/2006 00:00;36,81;29,69;4,51;67,77;0
03/06/2006 00:00;36,92;28,48;4,41;66,59;3,38
04/06/2006 00:00;35,37;27,72;3,82;84,78;5,94
05/06/2006 00:00;32,66;26,89;4,27;62,18;12,75
06/06/2006 00:00;34,96;27,22;3,54;66,2;0
07/06/2006 00:00;38,63;29,1;3,66;59,05;0
08/06/2006 00:00;39,32;29,17;4,07;57,65;0
09/06/2006 00:00;39,79;29,49;4,57;53,7;0
10/06/2006 00:00;37,62;28,65;3,97;55,83;0
11/06/2006 00:00;39,1;28,99;4,37;54,91;0
12/06/2006 00:00;39,15;28,86;3,99;56,91;0
